Date,High
1997-1,795
1997-11,965
1997-12,986
1997-2,818
1997-3,815
1997-4,852
1997-4,804
1997-5,902
1997-6,958
1997-7,964
1997-8,961
1997-9,983
1998-1,993
1998-11,1193
1998-12,1245
1998-2,1052
1998-3,1113
1998-4,1131
1998-4,1133
1998-5,1145
1998-6,1191
1998-7,1122
1998-8,1066
1998-9,1104
1999-1,1280
1999-11,1425
1999-12,1473
1999-2,1284
1999-3,1324
1999-4,1376
1999-4,1372
1999-5,1373
1999-6,1420
1999-7,1383
1999-8,1361
1999-9,1373
2000-1,1478
2000-11,1438
2000-12,1389
2000-2,1445
2000-3,1553
2000-4,1482
2000-4,1527
2000-5,1489
2000-6,1517
2000-7,1525
2000-8,1530
2000-9,1455
2001-1,1383
2001-11,1163
2001-12,1174
2001-2,1376
2001-3,1267
2001-4,1316
2001-4,1269
2001-5,1287
2001-6,1240
2001-7,1226
2001-8,1155
2001-9,1111
2002-1,1177
2002-11,942
2002-12,954
2002-2,1130
2002-3,1174
2002-4,1107
2002-4,1148
2002-5,1071
2002-6,994
2002-7,965
2002-8,924
2002-9,907
2003-1,935
2003-11,1064
2003-12,1113
2003-2,865
2003-3,896
2003-4,965
2003-4,924
2003-5,1015
2003-6,1015
2003-7,1011
2003-8,1040
2003-9,1054
2004-1,1155
2004-11,1188
2004-12,1217
2004-2,1159
2004-3,1163
2004-4,1128
2004-4,1151
2004-5,1146
2004-6,1141
2004-7,1110
2004-8,1132
2004-9,1142
2005-1,1218
2005-11,1271
2005-12,1276
2005-2,1212
2005-3,1229
2005-4,1200
2005-4,1192
2005-5,1220
2005-6,1245
2005-7,1246
2005-8,1243
2005-9,1233
2006-1,1295
2006-11,1408
2006-12,1432
2006-2,1298
2006-3,1311
2006-4,1327
2006-4,1318
2006-5,1291
2006-6,1280
2006-7,1307
2006-8,1340
2006-9,1389
2007-1,1442
2007-10,1546
2007-12,1524
2007-2,1462
2007-3,1498
2007-3,1439
2007-4,1536
2007-5,1541
2007-6,1556
2007-7,1504
2007-8,1539
2007-9,1576
2008-1,1472
2008-10,1008
2008-12,919
2008-2,1396
2008-3,1405
2008-3,1360
2008-4,1440
2008-5,1404
2008-6,1292
2008-7,1313
2008-8,1303
2008-9,1167
2009-1,944
2009-10,1114
2009-12,1130
2009-2,875
2009-3,889
2009-3,833
2009-4,930
2009-5,956
2009-6,997
2009-7,1039
2009-8,1080
2009-9,1101
2010-1,1150
2010-10,1227
2010-12,1263
2010-2,1112
2010-3,1220
2010-3,1181
2010-4,1205
2010-5,1131
2010-6,1121
2010-7,1129
2010-8,1157
2010-9,1196
2011-1,1303
2011-10,1278
2011-12,1269
2011-2,1344
2011-3,1365
2011-3,1332
2011-4,1371
2011-5,1345
2011-6,1356
2011-7,1307
2011-8,1229
2011-9,1293
2012-1,1333
2012-10,1434
2012-12,1448
2012-2,1378
2012-3,1422
2012-3,1419
2012-4,1415
2012-5,1363
2012-6,1392
2012-7,1427
2012-8,1475
2012-9,1471
2013-1,1510
2013-10,1814
2013-12,1849
2013-2,1531
2013-3,1598
2013-3,1570
2013-4,1687
2013-5,1654
2013-6,1699
2013-7,1710
2013-8,1730
2013-9,1775
2014-1,1851
2014-10,2076
2014-12,2094
2014-2,1868
2014-3,1897
2014-3,1884
2014-4,1924
2014-5,1968
2014-6,1991
2014-7,2005
2014-8,2019
2014-9,2018
2015-1,2072
2015-10,2116
2015-12,2104
2015-2,2120
2015-3,2126
2015-3,2118
2015-4,2135
2015-5,2130
2015-6,2133
2015-7,2113
2015-8,2021
2015-9,2094
2016-1,2038
2016-10,2214
2016-12,2278
2016-2,1963
2016-3,2111
2016-3,2072
2016-4,2103
2016-5,2121
2016-6,2177
2016-7,2194
2016-8,2188
2016-9,2170
2017-1,2301
2017-10,2658
2017-12,2695
2017-2,2372
2017-3,2398
2017-3,2401
2017-4,2419
2017-5,2454
2017-6,2484
2017-7,2491
2017-8,2519
2017-9,2583
2018-1,2873
2018-10,2815
2018-12,2800
2018-2,2836
2018-3,2717
2018-3,2802
2018-4,2742
2018-5,2791
2018-6,2848
2018-7,2917
2018-8,2941
2018-9,2940
2019-1,2709
2019-10,3154
2019-12,3248
2019-2,2813
2019-3,2950
2019-3,2860
2019-4,2954
2019-5,2964
2019-6,3028
2019-7,3014
2019-8,3022
2019-9,3050
2020-1,3338
2020-2,3394
2020-3,3046
2020-4,3069
2020-5,3233
2020-6,3280
2020-7,3515
2020-8,3588
